value,count,week_tag
china,1913,from 2022-11-23 to 2022-11-30
south,1686,from 2022-11-23 to 2022-11-30
u.s,942,from 2022-11-23 to 2022-11-30
waters,887,from 2022-11-23 to 2022-11-30
away,878,from 2022-11-23 to 2022-11-30
cruiser,877,from 2022-11-23 to 2022-11-30
near,876,from 2022-11-23 to 2022-11-30
illegally,873,from 2022-11-23 to 2022-11-30
intruded,870,from 2022-11-23 to 2022-11-30
drove,869,from 2022-11-23 to 2022-11-30
territorial,279,from 2022-11-23 to 2022-11-30
claims,278,from 2022-11-23 to 2022-11-30
philippines,137,from 2022-11-23 to 2022-11-30
harris,131,from 2022-11-23 to 2022-11-30
india,113,from 2022-11-23 to 2022-11-30
chinese,95,from 2022-11-23 to 2022-11-30
kamala,91,from 2022-11-23 to 2022-11-30
laut,84,from 2022-11-23 to 2022-11-30
selatan,79,from 2022-11-23 to 2022-11-30
defend,73,from 2022-11-23 to 2022-11-30
