CHINA,SOUTH,TERRITORY,DOING,MOON,NASA,BOSS,GOBBLE,DRILLS,MILITARY,CLAIMS,LASER,COUNTRIES,WITHIN,DIFFERENT,MAP,DEPICTING,CHINESE,PHILIPPINES,U.S
293,136,4,4,1,0,0,0,0,39,6,0,18,1,3,0,0,72,28,27
287,107,5,0,1,2,0,0,0,27,7,0,5,0,1,3,0,82,22,43
504,183,8,4,0,1,1,0,4,111,23,0,21,18,4,1,0,216,49,56
388,164,17,13,2,1,3,0,0,67,6,0,24,7,8,5,0,147,49,62
264,123,8,4,0,0,1,0,0,55,8,0,22,2,1,4,0,44,37,42
134,51,3,0,0,0,0,0,1,4,2,0,1,0,1,0,0,30,5,4
155,49,4,0,3,0,0,0,0,41,2,0,11,3,4,0,0,22,21,49
154,50,2,0,0,0,0,0,1,39,2,0,7,4,5,0,0,57,19,55
89,37,0,1,1,0,0,0,0,19,6,0,2,0,0,0,0,38,5,49
239,155,3,1,0,0,0,0,107,97,3,2,1,1,0,1,0,33,7,21
471,219,4,4,0,0,0,0,90,114,10,123,9,1,0,1,0,96,62,50
528,290,1,2,1,0,0,0,66,19,3,124,3,1,0,1,0,62,68,73
979,476,313,311,310,310,310,310,15,24,91,32,91,80,80,85,80,56,37,42
245,186,12,11,11,12,11,11,4,6,158,8,157,156,156,156,156,2,8,4
