VALUE,COUNT,WEEK_TAG
china,423,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
south,227,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
laut,103,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
selatan,88,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
philippines,56,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
chinese,53,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
yang,52,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
2022,50,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
tni,46,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
perairan,36,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
yudo,36,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
disember,34,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
new,34,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
japan,33,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
hujan,32,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
besar,28,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
military,27,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
berterusan,25,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
dijangka,24,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
angin,23,from 2022-12-16T00:00:00Z to 2022-12-16T06:20:30Z
