TOPICS,PULSARID,PUBLISHEDAT,WEEK_TAG
Clock towers,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Clocks,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Horology,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Towers,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Hellenistic engineering,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Landmarks,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Machines,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Ancient Greek technology,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Buildings and structures,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Ancient Greek science,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Ancient technology,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Hellenistic civilization,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Measuring instruments,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Architecture,0_87317_126_t1_j11cybe,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Warfare,0_87317_126_t1_j1112ux,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
Military,0_87317_126_t1_j1112ux,2022-12-20,from 2022-12-14T00:00:00Z to 2022-12-14T03:54:59Z
