TOPIC,2022-12-30,2022-12-31,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,priorperiod_volume,currentperiod_volume,peak_velocity,median,lifespan,difference,GROWTH RATE,volatility,median_variance,Z-SCORE,TOTAL VOLUME,TREND_CLASSIFICATION
CHINA,649,159,137,348,156,154,208,93,35,34,54,118,170,46,1811.0,550.0,7.1,146.0,4,-1261.0,-0.7%,0.7258560114982143,2.9606520015101294,0.8,2361,COOLING DOWN & STEADY TRENDS
SOUTH,494,83,70,272,45,42,107,36,15,13,21,51,85,21,1113.0,242.0,3.5,48.0,2,-871.0,-0.8%,0.8348251021933429,2.8516829108150006,0.7,1355,COOLING DOWN & STEADY TRENDS
TAIWAN,22,8,1,3,9,10,4,5,8,2,10,49,74,16,57.0,164.0,3.1,9.0,2,107.0,1.9%,2.0224325637909666,1.664075449217377,0.4,221,HEATING UP & STEADY TRENDS
CHINESE,440,48,71,18,13,30,13,6,3,6,3,4,76,8,633.0,106.0,3.2,13.0,2,-527.0,-0.8%,6.902892216950696,3.2163842039423525,-0.8,739,COOLING DOWN & STREAKY TRENDS
ASIA,8,5,0,0,7,0,3,1,2,1,1,3,120,9,23.0,137.0,5.0,3.0,1,114.0,5.0%,14.719743314812533,11.03323530180419,-2.8,160,HEATING UP & STREAKY TRENDS
RUSSIA,4,1,1,1,10,1,3,1,2,2,1,4,60,1,21.0,71.0,2.5,2.0,2,50.0,2.4%,5.350583462225721,1.6640754492173775,-0.4,92,HEATING UP & STREAKY TRENDS
POLICY,0,0,0,0,0,1,1,4,1,2,2,0,59,1,2.0,69.0,2.5,1.0,3,67.0,33.5%,0.0,0.0,0.0,71,HEATING UP & STEADY TRENDS
COOPERATION,1,6,0,0,0,6,10,6,2,3,0,0,59,0,23.0,70.0,2.5,2.0,3,47.0,2.0%,0.0,0.0,0.0,93,HEATING UP & STEADY TRENDS
EAST,2,1,0,5,1,0,0,2,1,0,0,2,62,0,9.0,67.0,2.6,1.0,2,58.0,6.4%,0.0,0.0,0.0,76,HEATING UP & STEADY TRENDS
BUILD,0,0,0,7,2,3,1,1,0,0,0,0,59,0,13.0,60.0,2.5,0.1,5,47.0,3.6%,0.0,0.0,0.0,73,HEATING UP & STEADY TRENDS
NATIONAL,3,1,1,3,0,4,0,2,0,0,1,3,61,0,12.0,67.0,2.5,1.0,3,55.0,4.6%,0.0,0.0,0.0,79,HEATING UP & STEADY TRENDS
COUNTRIES,5,5,1,4,4,6,6,1,1,3,0,0,120,1,31.0,126.0,5.0,4.0,3,95.0,3.1%,0.0,0.0,0.0,157,HEATING UP & STEADY TRENDS
KOREA,2,2,1,1,2,2,6,0,3,0,0,0,59,5,16.0,67.0,2.5,2.0,2,51.0,3.2%,0.0,0.0,0.0,83,HEATING UP & STEADY TRENDS
CCP,5,0,1,1,0,0,0,2,1,0,0,0,60,0,7.0,63.0,2.5,0.1,2,56.0,8.0%,0.0,0.0,0.0,70,HEATING UP & STEADY TRENDS
ALLIANCE,0,0,1,0,0,0,0,0,0,0,0,0,61,0,1.0,61.0,2.5,0.1,1,60.0,60.0%,0.0,0.0,0.0,62,HEATING UP & STEADY TRENDS
FUTURE,0,0,0,1,0,1,0,0,0,0,2,0,59,0,2.0,61.0,2.5,0.1,1,59.0,29.5%,0.0,0.0,0.0,63,HEATING UP & STEADY TRENDS
CONTROL,1,0,0,2,2,2,0,1,0,0,1,0,118,0,7.0,120.0,4.9,1.0,3,113.0,16.1%,0.0,0.0,0.0,127,HEATING UP & STEADY TRENDS
ADOPT,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0.1,59.0,2.5,0.1,1,58.9,589.0%,0.0,0.0,0.0,59,HEATING UP & STEADY TRENDS
APPEASEMENT,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0.1,59.0,2.5,0.1,1,58.9,589.0%,0.0,0.0,0.0,59,HEATING UP & STEADY TRENDS
DIRECTLY,0,0,0,0,0,0,2,0,0,0,1,0,59,0,2.0,60.0,2.5,0.1,1,58.0,29.0%,0.0,0.0,0.0,62,HEATING UP & STEADY TRENDS
